system:index,MuniCode,date,mean,.geo
20180101_00000000000000000000,010103,2018-01-01,0.18239310459607283,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000001,010110,2018-01-01,0.15224989120548912,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000002,010109,2018-01-01,0.17712156826062878,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000003,010118,2018-01-01,0.2606993840337856,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000004,010101,2018-01-01,0.6879737842569564,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000005,010112,2018-01-01,0.14877534794918235,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000006,010108,2018-01-01,0.36767885121287813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000007,010105,2018-01-01,0.17131176600389808,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000008,010102,2018-01-01,0.14450470299520823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000009,010116,2018-01-01,0.12411744019411897,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000000a,010104,2018-01-01,0.17988983750339796,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000000b,010107,2018-01-01,0.1686365454469966,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000000c,010117,2018-01-01,0.18699461614587226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000000d,010106,2018-01-01,0.18194269036062835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000000e,010111,2018-01-01,0.19773201705754892,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000000f,010114,2018-01-01,0.1665870245177327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000010,010121,2018-01-01,0.2804855860390922,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000011,010119,2018-01-01,0.15737025858116585,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000012,010120,2018-01-01,0.19322150386878223,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000013,010115,2018-01-01,0.20815002234140145,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000014,010113,2018-01-01,0.19602631727767142,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000015,010206,2018-01-01,0.2567874990764855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000016,010201,2018-01-01,0.5566695124230705,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000017,010204,2018-01-01,0.45219362058157136,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000018,010203,2018-01-01,0.2737304151701068,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000019,010202,2018-01-01,0.13259838608319216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000001a,010205,2018-01-01,0.14428701517240738,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000001b,010303,2018-01-01,0.1564275969958233,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000001c,010309,2018-01-01,0.14904890129425385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000001d,010311,2018-01-01,0.18983110790686927,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000001e,010304,2018-01-01,0.1588034565904646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_0000000000000000001f,010306,2018-01-01,0.1881277306167526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000020,010312,2018-01-01,0.13830227870700745,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101_00000000000000000021,010307,2018-01-01,0.27120162576596357,"{""type"":""MultiPoint"",""coordinates"":[]}"
