system:index,MuniCode,date,mean,.geo
20150101_00000000000000000000,010103,2015-01-01,0.0745957617077888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000001,010110,2015-01-01,0.05573161430969033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000002,010109,2015-01-01,0.07914949561002663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000003,010118,2015-01-01,0.1254943702247067,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000004,010101,2015-01-01,1.112068525492867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000005,010112,2015-01-01,0.1048592965170061,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000006,010108,2015-01-01,0.15990161923389848,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000007,010105,2015-01-01,0.08559811129605853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000008,010102,2015-01-01,0.06073713635526746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000009,010116,2015-01-01,0.04464444313643785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000000a,010104,2015-01-01,0.09680180413986271,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000000b,010107,2015-01-01,0.09090724687654483,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000000c,010117,2015-01-01,0.0859553434967543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000000d,010106,2015-01-01,0.05602294061107113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000000e,010111,2015-01-01,0.19091430543280888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000000f,010114,2015-01-01,0.08220089988922101,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000010,010121,2015-01-01,0.13227444158756607,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000011,010119,2015-01-01,0.1419145172276643,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000012,010120,2015-01-01,0.07553745972298335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000013,010115,2015-01-01,0.04653981271337742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000014,010113,2015-01-01,0.07380053377773159,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000015,010206,2015-01-01,0.2276464236114708,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000016,010201,2015-01-01,0.5738863616474379,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000017,010204,2015-01-01,0.32019508608049296,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000018,010203,2015-01-01,0.2292303100680621,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000019,010202,2015-01-01,0.0920385321786313,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000001a,010205,2015-01-01,0.08345633291006739,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000001b,010303,2015-01-01,0.252280429897479,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000001c,010309,2015-01-01,0.18211374621032794,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000001d,010311,2015-01-01,0.1819169392155542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000001e,010304,2015-01-01,0.04886056377682201,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000001f,010306,2015-01-01,0.04970928223903971,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000020,010312,2015-01-01,0.06018972860383565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000021,010307,2015-01-01,0.08958652436705006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000022,010308,2015-01-01,0.1227791250251856,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000023,010305,2015-01-01,0.032560641377299596,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000024,010310,2015-01-01,0.07691140520473076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000025,010302,2015-01-01,0.08420085867842576,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000026,010301,2015-01-01,0.11185810075790842,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000027,010401,2015-01-01,0.06995436512522338,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000028,010402,2015-01-01,0.10323060450910865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000029,010403,2015-01-01,0.10673039019610964,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000002a,010515,2015-01-01,0.06393385613234914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000002b,010504,2015-01-01,0.123490056374911,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000002c,010514,2015-01-01,0.10462912472053293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000002d,010501,2015-01-01,0.20610718024046207,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000002e,010520,2015-01-01,0.068868428761314,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000002f,010518,2015-01-01,0.10164212065895652,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000030,010508,2015-01-01,0.12532900517824114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000031,010507,2015-01-01,0.11669913053371206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000032,010506,2015-01-01,0.09341398091908833,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000033,010517,2015-01-01,0.035596466170149395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000034,010510,2015-01-01,0.07191954013145778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000035,010505,2015-01-01,0.06411469060736927,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000036,010516,2015-01-01,0.11273270980594917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000037,010511,2015-01-01,0.12982232408913363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000038,010519,2015-01-01,0.138836956633256,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000039,010509,2015-01-01,0.2718898707117217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000003a,010502,2015-01-01,0.1096675444205805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000003b,010523,2015-01-01,0.12941885441897014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000003c,010512,2015-01-01,0.08108851359049676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000003d,010522,2015-01-01,0.17692014737676542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000003e,010513,2015-01-01,0.07609138313365572,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000003f,010503,2015-01-01,0.09210101662447999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000040,010521,2015-01-01,0.07897203218713005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000041,010603,2015-01-01,0.09600411048058372,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000042,010604,2015-01-01,0.11698464029993037,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000043,010605,2015-01-01,0.05247609120481909,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000044,010607,2015-01-01,0.09616363404983458,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000045,010612,2015-01-01,0.05296931147372972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000046,010601,2015-01-01,0.1665225864888298,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000047,010606,2015-01-01,0.09409774193567601,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000048,010602,2015-01-01,0.041089366944354916,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000049,010611,2015-01-01,0.03273917794346257,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000004a,010608,2015-01-01,0.03621949746257522,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000004b,010609,2015-01-01,0.06226207316686892,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000004c,010610,2015-01-01,0.07490016790221607,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000004d,010705,2015-01-01,0.05789195912416932,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000004e,010706,2015-01-01,0.06753366790682874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000004f,010707,2015-01-01,0.11884430759712714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000050,010703,2015-01-01,0.16570339378949414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000051,010704,2015-01-01,0.30180367037886785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000052,010701,2015-01-01,0.24150046975346312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000053,010702,2015-01-01,0.10425820779096369,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000054,020108,2015-01-01,0.13964423382430513,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000055,020105,2015-01-01,0.9253838503468175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000056,020101,2015-01-01,0.5727412673513301,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000057,020305,2015-01-01,0.1518516819790176,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000058,020301,2015-01-01,0.12585636551010804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000059,020303,2015-01-01,0.1390652167024241,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000005a,020304,2015-01-01,0.12417849270618006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000005b,020306,2015-01-01,0.08927376104854783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000005c,020302,2015-01-01,0.12777863811449067,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000005d,020402,2015-01-01,0.1715703687864127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000005e,020401,2015-01-01,0.13469250593383691,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000005f,020504,2015-01-01,0.19352122020445775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000060,020509,2015-01-01,0.07337437303583152,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000061,020508,2015-01-01,0.15088207186153405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000062,020513,2015-01-01,0.0809323101087611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000063,020608,2015-01-01,0.15322813159944407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000064,020606,2015-01-01,0.19781607602915216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000065,020609,2015-01-01,0.13852019520390565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000066,020601,2015-01-01,0.24290054953933932,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000067,020701,2015-01-01,0.1570906102008325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000068,020702,2015-01-01,0.16743990489532584,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_00000000000000000069,020703,2015-01-01,0.15953020997773312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000006a,020904,2015-01-01,0.10077434504242297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000006b,021010,2015-01-01,0.12314723129700463,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000006c,021015,2015-01-01,0.21599290124796933,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000006d,021016,2015-01-01,0.12921565622827672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000006e,021006,2015-01-01,0.12430913093058114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101_0000000000000000006f,021008,2015-01-01,0.1779720776635679,"{""type"":""MultiPoint"",""coordinates"":[]}"
