system:index,MuniCode,date,mean,.geo
20200101_00000000000000000000,010103,2020-01-01,0.1371043565862986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000001,010110,2020-01-01,0.11269949313425195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000002,010109,2020-01-01,0.08327479471426966,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000003,010118,2020-01-01,0.09373485786663843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000004,010101,2020-01-01,1.1072880238920888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000005,010112,2020-01-01,0.05751265114109238,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000006,010108,2020-01-01,0.3866681080178381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000007,010105,2020-01-01,0.05848865210324598,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000008,010102,2020-01-01,0.055873202124738786,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000009,010116,2020-01-01,-0.04804630779307388,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000000a,010104,2020-01-01,0.10207541830142855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000000b,010107,2020-01-01,0.023278282245779353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000000c,010117,2020-01-01,0.04834075432868749,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000000d,010106,2020-01-01,0.07933538122568884,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000000e,010111,2020-01-01,0.04340681982027858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000000f,010114,2020-01-01,0.07341691915978685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000010,010121,2020-01-01,0.06529529344899909,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000011,010119,2020-01-01,0.026825420325176052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000012,010120,2020-01-01,0.04975574366135895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000013,010115,2020-01-01,0.08217776940348998,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000014,010113,2020-01-01,0.0923687574163915,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000015,010206,2020-01-01,0.1491560874243153,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000016,010201,2020-01-01,0.482695867568883,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000017,010204,2020-01-01,0.20548496914525236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000018,010203,2020-01-01,0.1274734816925704,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000019,010202,2020-01-01,-0.003364155367815107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000001a,010205,2020-01-01,-0.05896106748362143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000001b,010303,2020-01-01,0.03273928804583814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000001c,010309,2020-01-01,-0.013095577293895709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000001d,010311,2020-01-01,0.05301119177576102,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000001e,010304,2020-01-01,0.030083685329088474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_0000000000000000001f,010306,2020-01-01,0.07850532514546675,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000020,010312,2020-01-01,0.04159863059396699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000021,010307,2020-01-01,0.14198024269823667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000022,010308,2020-01-01,0.07600196316803252,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000023,010305,2020-01-01,0.054995978383981105,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101_00000000000000000024,010310,2020-01-01,0.04816304247312404,"{""type"":""MultiPoint"",""coordinates"":[]}"
