,Locality,Latitude,Longitude
140,KIMIRI,-13.0955,-70.4271
141,SANTA CRUZ,-12.6666,-71.3432
142,NUEVA ESPERANZA,-11.0154,-69.6026
143,LA MERCED,-11.3791,-69.3216
144,MAZUKO,-13.1001,-70.3674
145,MAZUKO,-13.1001,-70.3674
146,DELTA,-12.7745,-70.527
147,CINCO ISLAS,-12.6523,-69.9639
148,SANTA RITA BAJA,-12.914,-70.1928
149,SAN JUAN CHICO,-12.5753,-70.1508
150,1RO DE MAYO,,
151,VIRGENES DEL SOL,-12.8242,-69.6625
152,VILLA SANTIAGO,-13.0072,-70.3449
153,NUEVA AREQUIPA,-12.8921,-69.9985
154,MANSILLA II,-12.7245,-71.3552
155,SAN JOSE DE KARENE,-12.6882,-70.5212
156,VARSOVIA,-12.1288,-69.295
157,PACAL GUACAMAYO,-12.6075,-70.2981
158,CC.NN. AOTI,,
159,NUEVA VISTA,-11.9782,-69.2413
160,UNION PROGRESO,-12.8758,-69.807
161,PAMPLONA,,
162,PAMPLONA,,
163,MINAS PAMPA,,
164,SAN BERNARDO,-12.6874,-69.3991
165,SAN PEDRO,-11.4601,-69.2701
166,23 DE MAYO,,
167,POYAN,,
168,ALTO LIBERTAD,-12.8989,-69.9454
169,ALTA CACHUELA,-12.4884,-69.1824
170,ÑUÑUÑAPATA,,
171,LUNGUMARI,,
172,PRIMAVERA BAJA,-12.9088,-70.1101
173,FRANCISCO BOLOGNESI ALTO,,
174,PORTILLO,-11.433,-69.5839
175,LOERO,-12.6635,-69.1584
176,MONTE SINAI,-12.716,-69.3123
177,SAN JUAN GRANDE,-12.6011,-70.2163
178,VIRGEN DE LA CANDELARIA,-12.896,-70.0555
179,CHILINA VIEJA,-11.2587,-69.592
180,SHIRINGAYOC O VUELTA GRAN,,
181,JORGE CHAVEZ,-12.6685,-69.1192
182,EL CASTAÑAL,-12.6342,-69.2607
183,YUNGUYO,-12.8126,-71.3591
184,CENTRO PASTORA,-12.6057,-69.2505
185,CONDENADO,-12.8638,-69.4106
186,LIMA CERCADO,,
187,HUASORORQUITO,,
188,13 DE FEBRERO,,
189,PAMPLONA,,
190,PUERTO MALDONADO,-12.5933,-69.1891
191,LA PASTORA,-12.6036,-69.543
192,FLORIDA BAJA,-12.7617,-69.5681
193,TENIENTE ACEVEDO,-12.6411,-69.3605
194,CHONTA,-12.6688,-69.2281
195,CHORRILLOS,-12.606,-69.2852
196,PRIMAVERA ALTA,-12.9129,-70.1497
197,FRAY MARTIN,-12.0236,-69.135
198,COLPAYOC,-12.3438,-69.2359
199,YUNGUYO,-12.8126,-71.3591
200,SAN JOSE,-12.6882,-70.5212
201,COLPAC,-11.8961,-69.2487
202,TAZON GRANDE,,
203,LA REPUBLICA,-11.2596,-69.4929
204,PUERTO MALDONADO,-12.5933,-69.1891
205,MAZUKO,-13.1001,-70.3674
206,LOS OLIVOS (LAS PALMERAS),,
207,LOS AGUAVOS,,
208,VIRGENES DEL CARMEN,,
209,LUCERNA,-12.0976,-69.4699
210,LLACTAPAMPA,-12.6829,-71.3704
211,FLORIDA,-12.7617,-69.5681
212,TUPAC AMARU,-12.594,-69.3269
213,TUPAC AMARU,-12.594,-69.3269
214,QUINCEMIL,,
215,HORACIO ZEVALLOS,,
216,SANTA ANITA,,
217,OTILIA,-12.5295,-69.2133
218,BELLO HORIZONTE,-12.4978,-69.1452
219,PUERTO AGUILA,,
220,NUEVA METROPOLI,,
221,SAN ISIDRO DE CHILINA,-11.1989,-69.5577
222,ARROZAL,-11.2829,-69.4815
223,CACHUELA MARGEN IZQUIERDA,-12.5107,-69.1617
