"","Locality","Place_Name","District","Admin_Name_3","Dist_Adm3","loc_pl","Latitude","Longitude","Accuracy","Admin_Name_1","Admin_Name_2","select_rank"
"37","AGUAS NEGRAS","AGUAS NEGRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.2586,-69.2008,4,"""Madre De Dios""","""Tambopata""",1
"38","ALEGRIA","ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.1195,-69.1187,4,"""Madre De Dios""","""Tambopata""",1
"39","ALERTA","ALERTA","TAHUAMANU","TAHUAMANU",TRUE,TRUE,-11.6597,-69.2344,4,"""Madre De Dios""","""Tahuamanu""",1
"40","ALTA CACHUELA","ALTA CACHUELA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.4884,-69.1824,4,"""Madre De Dios""","""Tambopata""",1
"41","ALTA PASTORA","ALTA PASTORA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5751,-69.2302,4,"""Madre De Dios""","""Tambopata""",1
"42","ALTO BELGICA","ALTO BELGICA","IÑAPARI","IÑAPARI",TRUE,TRUE,-10.9699,-69.75,4,"""Madre De Dios""","""Tahuamanu""",1
"43","ALTO CARBON","ALTO CARBON","MANU","MANU",TRUE,TRUE,-12.9015,-71.3219,3,"""Madre De Dios""","""Manu""",1
"44","ALTO CHORRILLOS","ALTO CHORRILLOS","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5869,-69.291,4,"""Madre De Dios""","""Tambopata""",1
"45","ALTO DOS DE MAYO","ALTO DOS DE MAYO","INAMBARI","INAMBARI",TRUE,TRUE,-13.079,-70.3261,4,"""Madre De Dios""","""Tambopata""",1
"46","ALTO HUACAMAYO","ALTO HUACAMAYO","INAMBARI","INAMBARI",TRUE,TRUE,-12.8084,-69.9373,4,"""Madre De Dios""","""Tambopata""",1
"47","ALTO LIBERTAD","ALTO LIBERTAD","INAMBARI","INAMBARI",TRUE,TRUE,-12.8989,-69.9454,3,"""Madre De Dios""","""Tambopata""",1
"48","ALTO LOBOYOC","ALTO LOBOYOC","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.4577,-69.1714,4,"""Madre De Dios""","""Tambopata""",1
"49","ALTO LOERO","ALTO LOERO","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6683,-69.2134,4,"""Madre De Dios""","""Tambopata""",1
"50","ALTO PERU","ALTO PERU","TAHUAMANU","TAHUAMANU",TRUE,TRUE,-11.4574,-69.2591,4,"""Madre De Dios""","""Tahuamanu""",1
"51","ALTO PUKIRI","ALTO PUKIRI","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-12.8537,-70.5449,4,"""Madre De Dios""","""Manu""",1
"52","AMARACAIRE","AMARACAIRE","LABERINTO","LABERINTO",TRUE,TRUE,-12.7248,-69.7452,3,"""Madre De Dios""","""Tambopata""",1
"53","AMAZONIA","AMAZONIA","MANU","MANU",TRUE,TRUE,-12.8534,-71.3856,3,"""Madre De Dios""","""Manu""",1
"54","ARAZAIRE","ARAZAIRE","INAMBARI","INAMBARI",TRUE,TRUE,-13.0013,-70.3424,3,"""Madre De Dios""","""Tambopata""",1
"55","ARROZAL","ARROZAL","IBERIA","IBERIA",TRUE,TRUE,-11.2829,-69.4815,4,"""Madre De Dios""","""Tahuamanu""",1
"56","AZUL","AZUL","INAMBARI","INAMBARI",TRUE,TRUE,-13.0353,-69.9259,3,"""Madre De Dios""","""Tambopata""",1
"57","BAJO ALEGRIA","BAJO ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""",1
"58","BAJO COLORADO (PLAYA OCULTA)","BAJO COLORADO (PLAYA OCULTA)","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.6246,-70.4499,3,"""Madre De Dios""","""Manu""",1
"59","BAJO MADRE DE DIOS","BAJO MADRE DE DIOS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""",1
"60","BAJO MADRE DE DIOS IZQUIERDA","BAJO MADRE DE DIOS IZQUIERDA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6183,-69.1441,3,"""Madre De Dios""","""Tambopata""",1
"61","BAJO PIEDRAS","BAJO PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""",1
"62","BAJO PUKIRI (DELTA 3)","BAJO PUKIRI (DELTA 3)","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7816,-70.4993,3,"""Madre De Dios""","""Manu""",1
"63","BAJO TAMBOPATA","BAJO TAMBOPATA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6516,-69.2202,4,"""Madre De Dios""","""Tambopata""",1
"64","BALTIMORI","BALTIMORI","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.8314,-69.4464,4,"""Madre De Dios""","""Tambopata""",1
"65","BAMBERME","BAMBERME","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.0075,-70.6585,3,"""Madre De Dios""","""Manu""",1
"66","BARRACA (PUERTO AZUL)","BARRACA (PUERTO AZUL)","FITZCARRALD","FITZCARRALD",TRUE,TRUE,-12.2978,-70.7709,4,"""Madre De Dios""","""Manu""",1
"67","BELGICA","BELGICA","IÑAPARI","IÑAPARI",TRUE,TRUE,-10.973,-69.7314,3,"""Madre De Dios""","""Tahuamanu""",1
