DEPARTAMENTO DE MADRE DE DIOS,,,,,,,,,,,
,,,,,,,,,,,
CÓDIGO,CENTROS POBLADOS,"REGIÓN NATURAL (según piso
altitudinal)","ALTITUD
(m s.n.m.)",POBLACIÓN CENSADA,,,VIVIENDAS PARTICULARES,,,District Code,District Name
16,PUERTO MAZUKO,Omagua,331,177,91,86,60,55,5,170102,INAMBARI
17,PALMERA,Omagua,342,208,186,22,34,25,9,170102,INAMBARI
18,PONAL,Omagua,255,88,44,44,27,24,3,170102,INAMBARI
19,PUERTO CARLOS,Omagua,304,15,11,4,9,9,-,170102,INAMBARI
20,NUEVA ESPERANZA,Omagua,270,14,8,6,7,7,-,170102,INAMBARI
22,PADRE HERMOGENES,Omagua,216,5,3,2,6,4,2,170102,INAMBARI
23,LA DISTANCIA,Omagua,227,16,6,10,42,11,31,170102,INAMBARI
24,UNION PROGRESO,Omagua,228,244,141,103,66,66,-,170102,INAMBARI
25,SOL NACIENTE,Omagua,262,114,63,51,36,33,3,170102,INAMBARI
27,MALINOSQUI,Omagua,236,114,56,58,55,55,-,170102,INAMBARI
28,AZUL,Omagua,242,17,6,11,11,11,-,170102,INAMBARI
29,QUEBRADA SECA,Omagua,359,14,5,9,11,9,2,170102,INAMBARI
30,TAZON,Omagua,359,5,4,1,4,4,-,170102,INAMBARI
32,EL PROGRESO,Omagua,271,22,13,9,23,11,12,170102,INAMBARI
34,ARAZAIRE,Omagua,352,49,29,20,17,16,1,170102,INAMBARI
37,ALTO HUACAMAYO,Omagua,240,28,14,14,17,12,5,170102,INAMBARI
39,NUEVO ALTO AREQUIPA,Omagua,242,69,34,35,22,21,1,170102,INAMBARI
44,MAZUKO 1,Omagua,349,9,5,4,9,7,2,170102,INAMBARI
1,LAS PIEDRAS (PLANCHON),Omagua,239,1 297,684,613,436,421,15,170103,LAS PIEDRAS
2,MIRAFLORES,Omagua,252,24,18,6,11,10,1,170103,LAS PIEDRAS
3,COLPAC,Omagua,267,12,7,5,6,6,-,170103,LAS PIEDRAS
5,NUEVA VISTA,Omagua,251,30,16,14,20,17,3,170103,LAS PIEDRAS
6,MAVILA,Omagua,228,1 454,758,696,394,372,22,170103,LAS PIEDRAS
7,CAFETAL,Omagua,277,26,11,15,15,15,-,170103,LAS PIEDRAS
8,SAN JUAN DE APOCENTO,Omagua,236,15,11,4,6,6,-,170103,LAS PIEDRAS
9,NUEVO SAN JUAN,Omagua,260,7,5,2,8,8,-,170103,LAS PIEDRAS
10,SANTA JULIA,Omagua,229,-,-,-,1,1,-,170103,LAS PIEDRAS
11,BAJO ALEGRIA,Omagua,238,7,4,3,21,21,-,170103,LAS PIEDRAS
12,PIÑAL,Omagua,266,20,10,10,17,17,-,170103,LAS PIEDRAS
13,FRAY MARTIN DE PORRAS,Omagua,281,80,42,38,43,43,-,170103,LAS PIEDRAS
14,SANTA ROSA,Omagua,275,71,41,30,26,26,-,170103,LAS PIEDRAS
15,LORETO,Omagua,283,9,5,4,14,11,3,170103,LAS PIEDRAS
16,LUCERNA,Omagua,287,5,2,3,5,5,-,170103,LAS PIEDRAS
17,SAN CARLOS,Omagua,311,7,5,2,12,11,1,170103,LAS PIEDRAS
18,VARSOVIA,Omagua,275,4,3,1,7,4,3,170103,LAS PIEDRAS
19,ALEGRIA,Omagua,264,1 882,1 030,852,594,583,11,170103,LAS PIEDRAS
20,VIRGEN DEL CARMEN,Omagua,254,35,20,15,25,25,-,170103,LAS PIEDRAS
21,TRIUNFO (EL TRIUNFO),Omagua,241,5,4,1,3,3,-,170103,LAS PIEDRAS
22,MONTERREY,Omagua,296,157,87,70,74,65,9,170103,LAS PIEDRAS
25,1 DE MAYO,Omagua,247,31,15,16,34,34,-,170103,LAS PIEDRAS
26,COLPAYOC,Omagua,269,9,7,2,16,16,-,170103,LAS PIEDRAS
27,CENTRO PIEDRAS,Omagua,224,4,4,-,7,6,1,170103,LAS PIEDRAS
28,SAN FRANCISCO DE ASIS,Omagua,274,38,18,20,25,25,-,170103,LAS PIEDRAS
29,SUDADERO,Omagua,240,420,224,196,108,100,8,170103,LAS PIEDRAS
30,NUEVA ALIANZA,Omagua,208,3,2,1,11,9,2,170103,LAS PIEDRAS
31,GAMITANA,Omagua,213,4,3,1,7,7,-,170103,LAS PIEDRAS
32,LAGO VALENCIA,Omagua,207,23,12,11,25,23,2,170103,LAS PIEDRAS
