"","log_CL","Month","HNTL","NDVI","Precip","SWOccurrence","Evapotranspiration","Humidity","Soil_Heat_Flux","LST_Day","LST_Night","Soil_Moisture","Near_Surface_Air_Temp","Near_Surface_Wind_Speed","pland_forest","area_mn_forest","te_forest","enn_mn_forest","year_fold_train","year_fold_test","fold","Code"
"1",-10.5751727297967,1,1.19465323091325,0.649462090289471,110.501399980025,23.1773054428718,4.40948242424757e-05,0.0142652148212832,1.0534470305282,25.2028329295537,14.134434512677,0.393069877642111,293.899672580039,2.13965724707301,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"2",-10.9806378379049,3,1.19465323091325,0.537935036691044,260.594204545672,23.1773054428718,4.36733149310532e-05,0.0143028637608378,0.17156691939216,25.3934517149768,8.55506075307034,0.418245215601772,293.372589287206,2.19181443220994,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"3",-11.6737850184649,4,1.19465323091325,0.454440807678739,277.318466043747,23.1773054428718,4.62840758874131e-05,0.0146404416128786,0.190412922862078,25.3255932011899,11.8820402747852,0.424346218375299,293.535538938038,2.14824899238368,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"4",-11.6737850184649,7,1.19465323091325,0.570834435598732,283.010980886848,23.1773054428718,3.92423969411088e-05,0.0133490580118804,-0.201011441836953,22.6194168469747,10.7350428852625,0.419594295338971,291.932562510475,2.24726609382564,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"5",-11.6737850184649,8,1.19465323091325,0.70746345972874,253.831834259168,23.1773054428718,4.83655430558465e-05,0.0135277327895886,0.196302105262928,24.2839711315744,8.02334963091707,0.420131010425126,292.888763998196,2.26013274930692,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"6",-10.9806378379049,9,1.19465323091325,0.667938566066198,210.271283090157,23.1773054428718,4.82665826463632e-05,0.0135855506197242,0.522157265816229,25.7865958688499,17.2640153429964,0.415754643311526,292.846368774477,2.28575134054919,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"7",-10.9806378379049,12,1.19465323091325,0.645060495706337,154.412217345509,23.1773054428718,4.30407553989281e-05,0.0149336370925464,0.889366894069046,25.4416498887271,14.9628934206195,0.415913148277893,293.946919168602,1.97783536720411,69.814904213173,23.2704200032685,8570580,58.5978518815949,2,2,2,18001
"8",-11.0252465440445,1,1.3953926608676,0.458976034514198,182.445855487585,23.1773054428718,3.58466005749417e-05,0.0146992438539633,0.424004354167917,24.0668335377064,8.17912127914354,0.405368056040731,293.455399535659,2.11686849243001,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"9",-10.3320993634845,2,1.3953926608676,0.587045172993552,191.184376619174,23.1773054428718,4.02368434377466e-05,0.014850061019611,1.13604824280806,25.7821177840844,12.307593931483,0.41403780198607,293.550804586151,2.16561143473412,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"10",-10.1089558121703,3,1.3953926608676,0.554649149706032,301.958222314542,23.1773054428718,4.23172111758658e-05,0.0147966090191526,0.195505313168849,26.8529619295365,15.7853778121035,0.422884345360902,293.631120362922,2.19134143369168,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"11",-10.6197814359363,4,1.3953926608676,0.4849243167187,274.301037453524,23.1773054428718,3.67073669845732e-05,0.0150787601324163,0.231161776747261,25.3042276659895,15.4735123574007,0.423889931631422,293.526688523002,2.1890521271667,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"12",-11.7183937246044,5,1.3953926608676,0.63222718975832,327.280374825411,23.1773054428718,4.48938064722759e-05,0.014467421565819,0.244584065300945,24.7812257115205,16.5853615200797,0.423837654537887,293.575954608665,2.20082879850697,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"13",-10.1089558121703,6,1.3953926608676,0.407043143132273,337.084664525739,23.1773054428718,4.11854919395221e-05,0.0141828280327656,0.0106257159256138,22.289101137874,12.623543708978,0.418720140986604,293.095577742197,2.46055494090397,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"14",-11.0252465440445,7,1.3953926608676,0.455013528180889,291.434297104794,23.1773054428718,4.70484689676014e-05,0.0137063824504368,0.225903460404907,22.0373173758474,12.0223420896413,0.414220552149199,293.385614821691,2.42145996834493,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"15",-11.0252465440445,9,1.3953926608676,0.697020387543211,134.248926819064,23.1773054428718,5.69711915768467e-05,0.0138835930402097,0.943619942918037,27.0451597851108,15.3272206113906,0.399493888034448,294.993958499722,2.5801242657365,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"16",-10.6197814359363,10,1.3953926608676,0.6624516226531,182.570990665639,23.1773054428718,5.46341467695148e-05,0.0141485751496353,0.7220791739874,26.7426724504042,15.1083861177253,0.395593986870312,294.774961962385,2.41545569920443,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
"17",-11.7183937246044,11,1.3953926608676,0.676281210167547,122.044949372388,23.1773054428718,5.05516942180035e-05,0.0146333890043026,0.892309551709549,25.840064925303,14.8673919704532,0.400914409361112,295.147586731528,2.15102149342619,66.9736887393665,25.1791465437788,8021220,60.973890560952,3,3,2,18001
