system:index,MuniCode,mean,.geo
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000000,010103,2.1805344393495254,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000001,010110,0.8552046783625733,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000002,010109,3.0803311982502737,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000003,010118,2.5462740960966723,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000004,010101,9.885261666160543,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000005,010112,1.623798076923077,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000006,010108,5.718781470292044,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000007,010105,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000008,010102,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_00000000000000000009,010116,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_0000000000000000000a,010104,1.1261589403973509,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_0000000000000000000b,010107,1.4941213782479663,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_0000000000000000000c,010117,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_0000000000000000000d,010106,3.0276690653537006,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_0000000000000000000e,010111,3.255375369151857,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2015_simVIIRS_0000000000000000000f,010114,1.7325128648845585,"{""type"":""MultiPoint"",""coordinates"":[]}"
