system:index,MuniCode,mean,.geo
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000002d,010501,6.781034665535884,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000002e,010520,5.011712961874074,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000002f,010518,5.368426941150147,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000030,010508,5.506912699297578,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000031,010507,4.085678425155239,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000032,010506,3.856815578465064,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000033,010517,3.2951940692769806,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000034,010510,3.8784414860249528,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000035,010505,1.500413139391672,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000036,010516,6.534179153450729,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000037,010511,2.6997393647568146,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000038,010519,5.962701974865349,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000039,010509,7.076355275895451,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000003a,010502,5.300503171397186,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000003b,010523,7.3538090936464915,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000003c,010512,3.8284664126096457,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000003d,010522,6.220199146514935,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000003e,010513,3.6938912436899614,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000003f,010503,1.491316146540027,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000040,010521,6.04087955591893,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000041,010603,1.0352605985304513,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000042,010604,6.7394710578842325,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000043,010605,0.5759494867383784,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000044,010607,0.9822251985076056,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000045,010612,0.49791769732403873,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000046,010601,4.158627227910505,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000047,010606,3.635038905918416,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000048,010602,1.2260324019249664,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000049,010611,5.848388380421807,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000004a,010608,5.395621227137582,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000004b,010609,2.681710213776721,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000004c,010610,4.992320982914189,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000004d,010705,4.513619667197734,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000004e,010706,5.723984211254269,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000004f,010707,6.670578851412946,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000050,010703,6.749990352581009,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000051,010704,7.331411849291741,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000052,010701,7.603685702713647,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000053,010702,3.255174405821719,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000054,020108,2.5059278007193284,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000055,020105,10.99002091491634,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000056,020101,6.4881977860047115,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000057,020305,4.099027172089902,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000058,020301,6.469974728228169,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_00000000000000000059,020303,4.863845495399099,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000005a,020304,6.5196115620969595,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000005b,020306,4.624141055652041,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000005c,020302,6.234338612016769,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000005d,020402,6.306396459820981,"{""type"":""MultiPoint"",""coordinates"":[]}"
Harmonized_DN_NTL_2018_simVIIRS_0000000000000000005e,020401,4.3940489385284325,"{""type"":""MultiPoint"",""coordinates"":[]}"
