LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2007
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";4;-;3;1;1;1;2;2;-;2;3;2;21
"110037 Alto Alegre dos Parecis";-;2;-;-;1;-;-;1;-;1;-;-;5
"110040 Alto Paraíso";-;1;1;3;2;2;5;2;1;-;-;-;17
"110034 Alvorada D'Oeste";1;-;2;-;4;-;-;2;2;4;1;1;17
"110002 Ariquemes";1;2;5;2;3;3;4;7;1;3;1;1;33
"110045 Buritis";6;6;5;1;1;3;3;1;1;8;2;5;42
"110003 Cabixi";-;1;-;-;1;-;1;-;-;-;1;-;4
"110060 Cacaulândia";2;-;3;-;1;-;1;1;1;-;3;1;13
"110004 Cacoal";-;6;2;-;7;5;9;11;4;5;10;5;64
"110070 Campo Novo de Rondônia";1;1;2;1;3;-;-;1;2;3;3;-;17
"110080 Candeias do Jamari";-;-;-;-;1;1;3;-;-;-;-;1;6
"110090 Castanheiras";-;-;-;-;-;-;-;-;2;-;-;2;4
"110005 Cerejeiras";-;-;1;-;-;-;-;2;-;1;-;-;4
"110092 Chupinguaia";-;-;2;-;-;5;3;3;2;1;6;1;23
"110006 Colorado do Oeste";1;-;-;2;-;1;3;-;-;-;1;1;9
"110007 Corumbiara";-;-;-;1;-;1;-;1;3;1;1;-;8
"110008 Costa Marques";1;2;4;2;2;5;4;8;3;3;1;-;35
"110094 Cujubim";1;3;1;4;1;2;2;3;3;12;2;1;35
"110009 Espigão D'Oeste";3;-;1;1;2;1;4;6;10;5;3;4;40
"110100 Governador Jorge Teixeira";2;1;1;-;4;1;2;-;-;1;3;2;17
"110010 Guajará-Mirim";1;1;3;2;4;5;3;5;7;5;1;1;38
"110110 Itapuã do Oeste";-;-;1;-;-;-;-;-;2;1;-;-;4
"110011 Jaru";1;-;1;2;-;1;1;1;-;2;1;-;10
"110012 Ji-Paraná";1;-;-;1;-;-;1;-;1;-;-;2;6
"110013 Machadinho D'Oeste";4;1;4;3;2;3;-;8;4;5;4;1;39
"110120 Ministro Andreazza";-;-;-;-;-;-;-;-;1;1;2;1;5
"110130 Mirante da Serra";2;-;1;-;-;-;-;-;1;1;1;-;6
"110140 Monte Negro";-;1;2;2;1;2;1;1;2;4;5;2;23
"110033 Nova Mamoré";-;-;-;4;-;-;1;1;1;1;2;1;11
"110143 Nova União";-;1;-;-;-;-;-;1;-;2;-;-;4
"110050 Novo Horizonte do Oeste";1;-;1;-;-;-;-;2;2;-;-;1;7
"110015 Ouro Preto do Oeste";-;-;-;-;1;-;2;3;1;-;-;2;9
"110145 Parecis";2;1;-;1;-;1;1;4;1;3;1;-;15
"110018 Pimenta Bueno";1;-;4;5;7;6;15;7;3;2;2;1;53
"110146 Pimenteiras do Oeste";-;1;-;-;-;-;2;1;1;-;-;-;5
"110020 Porto Velho";4;4;7;7;14;3;12;11;4;1;2;6;75
"110025 Presidente Médici";-;-;-;-;1;-;-;-;-;1;-;-;2
"110147 Primavera de Rondônia";1;2;-;-;-;-;-;1;1;1;-;-;6
"110026 Rio Crespo";1;-;2;1;1;1;1;3;2;-;2;-;14
"110028 Rolim de Moura";-;3;-;3;4;3;7;1;3;1;2;-;27
"110029 Santa Luzia D'Oeste";-;-;1;1;-;-;-;-;-;-;-;1;3
"110149 São Francisco do Guaporé";1;-;-;4;1;1;1;2;2;2;4;1;19
"110032 São Miguel do Guaporé";-;1;-;1;4;1;-;1;2;1;1;-;12
