LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2013
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";2;1;2;2;3;1;1;3;6;7;1;1;30
"110037 Alto Alegre dos Parecis";1;2;3;1;-;-;-;2;3;6;4;3;25
"110040 Alto Paraíso";-;-;-;-;1;1;2;2;2;-;-;-;8
"110034 Alvorada D'Oeste";2;-;-;1;3;3;-;-;3;3;2;-;17
"110002 Ariquemes";2;1;3;11;6;4;1;5;4;4;1;2;44
"110045 Buritis";6;1;6;1;5;1;-;4;8;5;5;4;46
"110003 Cabixi";-;-;1;-;-;-;1;-;-;-;-;-;2
"110060 Cacaulândia";-;1;1;-;1;-;1;2;-;2;-;1;9
"110004 Cacoal";6;1;5;5;2;2;1;4;4;8;4;8;50
"110070 Campo Novo de Rondônia";1;3;2;1;-;3;2;1;2;2;6;2;25
"110080 Candeias do Jamari";1;-;2;-;1;4;1;3;1;-;1;2;16
"110090 Castanheiras";1;-;-;1;-;1;2;-;3;1;-;1;10
"110005 Cerejeiras";-;-;-;-;-;1;-;1;2;1;1;-;6
"110092 Chupinguaia";1;1;3;3;1;4;5;3;4;2;2;-;29
"110006 Colorado do Oeste";1;-;-;1;1;-;1;1;1;2;1;-;9
"110007 Corumbiara";-;2;-;-;3;-;1;1;1;4;1;4;17
"110008 Costa Marques";3;-;1;-;4;5;3;5;3;1;1;3;29
"110094 Cujubim";6;2;6;9;5;3;5;5;-;2;2;2;47
"110009 Espigão D'Oeste";3;9;3;2;3;6;7;8;11;9;6;7;74
"110100 Governador Jorge Teixeira";-;1;1;-;1;2;-;1;6;2;2;-;16
"110010 Guajará-Mirim";3;3;4;1;3;1;3;2;1;3;1;3;28
"110110 Itapuã do Oeste";-;-;-;1;-;-;2;1;-;-;1;-;5
"110011 Jaru";3;2;2;1;1;3;-;1;3;2;1;1;20
"110012 Ji-Paraná";2;3;3;-;2;1;2;3;2;-;1;4;23
"110013 Machadinho D'Oeste";8;2;-;-;1;2;3;1;1;5;5;1;29
"110120 Ministro Andreazza";-;1;-;-;-;-;1;-;1;-;-;1;4
"110130 Mirante da Serra";1;-;1;-;-;-;1;-;-;-;3;1;7
"110140 Monte Negro";1;2;-;1;2;1;-;-;3;2;3;1;16
"110014 Nova Brasilândia D'Oeste";1;-;3;-;1;1;1;-;-;2;2;2;13
"110033 Nova Mamoré";3;4;5;4;6;4;3;4;1;4;4;1;43
"110050 Novo Horizonte do Oeste";-;1;4;1;-;-;1;-;-;3;1;1;12
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;-;-;-;1;1;2
"110145 Parecis";1;2;3;2;3;2;1;3;3;5;2;2;29
"110018 Pimenta Bueno";-;2;-;3;7;8;4;9;9;4;7;1;54
"110146 Pimenteiras do Oeste";1;-;-;-;-;-;-;-;-;1;-;-;2
"110020 Porto Velho";4;4;7;8;8;10;10;15;7;15;11;12;111
"110025 Presidente Médici";-;-;2;-;-;-;-;1;-;-;-;1;4
"110147 Primavera de Rondônia";-;-;-;-;-;1;-;1;-;-;-;-;2
"110026 Rio Crespo";-;-;1;-;2;-;1;-;1;3;-;-;8
"110028 Rolim de Moura";6;2;5;1;1;-;-;4;1;5;3;4;32
"110029 Santa Luzia D'Oeste";-;-;1;-;-;-;-;-;-;-;-;1;2
"110148 São Felipe D'Oeste";-;-;-;1;-;1;-;-;1;-;-;-;3
"110149 São Francisco do Guaporé";1;1;2;1;3;6;2;11;2;5;2;-;36
"110032 São Miguel do Guaporé";3;-;-;-;-;-;-;1;5;5;3;4;21
"110150 Seringueiras";-;-;-;1;-;1;-;-;-;-;-;-;2
"110160 Theobroma";1;-;1;-;2;-;-;2;1;2;-;-;9
"110170 Urupá";-;-;-;-;-;-;2;1;1;-;1;-;5
"110175 Vale do Anari";-;-;-;1;2;1;1;2;1;-;-;1;9
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;3;-;3;-;6
"110030 Vilhena";5;3;8;9;9;8;17;24;13;8;2;1;107
"110000 Município ignorado - RO";-;-;-;1;-;-;-;-;-;-;1;1;3
"120001 Acrelândia";1;3;3;-;1;1;-;-;2;1;3;1;16
"120005 Assis Brasil";4;7;-;-;-;5;4;11;8;1;3;1;44
"120010 Brasiléia";11;5;8;6;5;4;10;12;8;1;4;5;79
"120013 Bujari";4;1;2;3;1;1;3;2;-;2;2;2;23
"120017 Capixaba";3;2;1;2;1;2;1;3;1;2;1;2;21
"120020 Cruzeiro do Sul";8;1;7;2;2;3;2;2;2;1;3;1;34
"120025 Epitaciolândia";2;2;2;4;1;2;1;5;1;1;2;2;25
"120030 Feijó";4;1;3;3;1;7;1;6;-;2;3;2;33
"120032 Jordão";2;2;2;1;-;-;-;-;-;-;-;4;11
"120033 Mâncio Lima";3;4;5;5;4;3;2;7;4;7;6;1;51
"120034 Manoel Urbano";1;2;-;-;1;5;-;3;-;-;2;2;16
"120035 Marechal Thaumaturgo";4;3;3;4;1;4;4;1;1;3;-;1;29
"120038 Plácido de Castro";-;3;2;1;2;1;4;-;1;-;1;1;16
"120080 Porto Acre";1;-;1;2;4;2;-;1;1;1;1;2;16
"120039 Porto Walter";-;-;1;-;1;-;-;-;-;-;-;-;2
"120040 Rio Branco";9;11;21;9;9;8;11;16;1;16;9;21;141
"120042 Rodrigues Alves";3;1;-;1;3;3;1;-;1;-;1;-;14
"120043 Santa Rosa do Purus";1;-;1;2;-;2;-;1;3;1;-;-;11
"120050 Sena Madureira";19;14;14;18;14;13;17;14;16;13;14;10;176
"120045 Senador Guiomard";1;1;1;2;-;-;4;-;1;5;1;1;17
"120060 Tarauacá";2;2;3;3;1;1;-;2;-;1;1;1;17
"120070 Xapuri";15;20;11;12;14;13;12;11;9;8;6;3;134
"130002 Alvarães";1;-;-;-;-;1;-;-;-;-;-;-;2
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;1;-;1
"130008 Anamã";-;-;-;1;-;-;-;-;-;-;-;-;1
"130014 Apuí";1;1;1;1;1;1;-;-;1;1;2;2;12
"130020 Atalaia do Norte";-;1;1;2;-;-;-;-;-;-;8;-;12
"130030 Autazes";1;-;1;1;-;1;1;-;-;1;1;-;7
"130040 Barcelos";2;3;1;1;2;1;-;1;2;1;-;-;14
"130050 Barreirinha";-;-;-;1;-;-;1;-;4;1;1;-;8
"130060 Benjamin Constant";-;-;-;-;1;-;1;-;-;-;2;-;4
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;-;1;-;-;-;1
"130070 Boca do Acre";4;3;8;7;2;17;6;8;8;8;2;-;73
"130080 Borba";-;-;-;-;-;1;1;-;1;-;-;-;3
"130083 Caapiranga";-;-;3;2;-;1;-;-;-;-;-;-;6
"130090 Canutama";2;2;-;-;-;-;1;-;1;1;-;-;7
"130100 Carauari";2;-;-;1;1;-;1;-;-;-;-;1;6
"130110 Careiro";1;-;2;-;-;1;-;-;-;-;-;-;4
"130115 Careiro da Várzea";-;-;-;-;-;-;-;1;-;-;-;-;1
"130120 Coari";5;6;2;2;2;1;1;2;1;2;3;3;30
"130130 Codajás";-;-;-;-;1;-;-;-;-;-;-;2;3
"130140 Eirunepé";1;1;4;2;3;4;2;1;-;3;3;-;24
