LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2011
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;3;2;1;-;-;-;1;1;-;-;-;9
"110037 Alto Alegre dos Parecis";2;2;2;-;-;1;1;-;1;3;-;-;12
"110040 Alto Paraíso";-;-;1;-;1;-;1;-;3;-;1;-;7
"110034 Alvorada D'Oeste";1;1;-;-;-;-;-;1;-;-;1;-;4
"110002 Ariquemes";1;3;3;2;2;1;4;2;1;3;1;1;24
"110045 Buritis";-;2;5;4;4;1;1;-;2;1;2;3;25
"110003 Cabixi";-;-;1;-;-;1;-;1;-;1;-;1;5
"110060 Cacaulândia";1;-;-;-;1;-;1;-;1;1;-;-;5
"110004 Cacoal";4;1;-;1;3;1;2;4;4;-;2;6;28
"110070 Campo Novo de Rondônia";6;2;1;-;2;-;1;-;2;3;1;3;21
"110080 Candeias do Jamari";-;1;3;1;1;-;1;-;-;-;-;-;7
"110090 Castanheiras";1;-;-;2;-;1;-;1;1;-;1;-;7
"110005 Cerejeiras";1;1;-;-;-;-;-;-;-;-;1;-;3
"110092 Chupinguaia";1;-;-;-;1;-;1;1;5;-;-;1;10
"110006 Colorado do Oeste";2;-;1;-;-;1;2;2;-;1;-;-;9
"110007 Corumbiara";3;1;2;1;2;-;1;-;-;-;-;-;10
"110008 Costa Marques";3;2;-;5;6;8;2;4;1;2;1;-;34
"110094 Cujubim";5;6;4;4;2;5;5;2;5;1;1;2;42
"110009 Espigão D'Oeste";5;2;2;-;1;1;2;5;3;1;-;1;23
"110100 Governador Jorge Teixeira";-;1;1;-;-;-;-;1;-;-;-;-;3
"110010 Guajará-Mirim";-;3;-;-;1;-;-;2;1;2;1;-;10
"110011 Jaru";3;2;-;1;1;-;-;1;-;-;-;-;8
"110012 Ji-Paraná";-;-;1;2;1;-;-;3;2;-;-;2;11
"110013 Machadinho D'Oeste";8;8;4;6;2;1;1;3;-;3;1;6;43
"110120 Ministro Andreazza";-;1;-;-;-;-;-;1;-;-;-;1;3
"110130 Mirante da Serra";1;2;-;-;-;-;-;-;-;-;1;-;4
"110140 Monte Negro";1;-;2;1;-;2;-;-;1;1;1;-;9
"110014 Nova Brasilândia D'Oeste";8;1;1;-;2;-;-;-;2;2;1;-;17
"110033 Nova Mamoré";1;2;1;1;4;3;2;3;2;2;-;2;23
"110143 Nova União";-;1;-;1;-;-;-;-;-;1;-;-;3
"110050 Novo Horizonte do Oeste";2;-;2;1;2;2;1;1;-;1;-;-;12
"110015 Ouro Preto do Oeste";1;-;-;1;1;-;1;-;1;-;2;-;7
"110145 Parecis";-;1;4;-;1;2;-;1;2;1;-;-;12
"110018 Pimenta Bueno";1;3;-;2;3;2;1;6;5;3;2;1;29
"110020 Porto Velho";3;4;7;1;8;12;4;5;5;5;4;1;59
"110025 Presidente Médici";-;1;-;-;-;1;-;-;-;-;-;-;2
"110147 Primavera de Rondônia";-;1;-;-;-;-;-;-;-;-;-;1;2
"110026 Rio Crespo";-;1;-;1;1;-;-;-;1;-;-;-;4
"110028 Rolim de Moura";2;6;3;1;2;-;1;1;3;3;3;2;27
"110029 Santa Luzia D'Oeste";1;1;-;-;-;-;-;1;2;1;-;3;9
"110148 São Felipe D'Oeste";-;-;2;-;-;-;-;1;1;-;-;-;4
"110149 São Francisco do Guaporé";1;2;2;2;-;-;2;4;-;1;-;-;14
"110032 São Miguel do Guaporé";2;2;-;3;-;-;-;3;-;-;2;1;13
"110150 Seringueiras";-;-;4;-;1;1;-;-;-;-;2;1;9
"110160 Theobroma";-;-;-;-;-;-;-;-;-;-;1;-;1
"110170 Urupá";1;1;-;-;-;-;1;-;-;-;-;-;3
"110175 Vale do Anari";-;1;3;1;4;1;1;-;-;-;-;-;11
"110180 Vale do Paraíso";-;-;-;-;-;2;1;1;-;-;-;-;4
"110030 Vilhena";2;1;3;7;5;2;2;4;4;2;-;1;33
"110000 Município ignorado - RO";-;-;-;-;-;-;-;1;-;-;-;-;1
"120001 Acrelândia";1;-;3;2;4;3;-;2;-;-;1;3;19
"120005 Assis Brasil";6;11;6;1;2;7;7;2;6;2;-;8;58
"120010 Brasiléia";4;10;7;4;2;6;7;5;5;4;4;4;62
"120013 Bujari";3;-;3;4;1;5;1;5;-;3;1;5;31
"120017 Capixaba";5;2;2;3;2;2;2;-;3;2;2;-;25
"120020 Cruzeiro do Sul";1;2;2;1;3;6;-;4;3;7;4;8;41
"120025 Epitaciolândia";4;3;2;3;1;3;1;-;-;-;1;3;21
"120030 Feijó";7;4;7;2;6;2;2;2;6;5;3;9;55
"120032 Jordão";1;-;2;-;-;-;-;1;-;1;-;-;5
"120033 Mâncio Lima";3;8;4;-;5;2;3;2;-;2;1;-;30
"120034 Manoel Urbano";3;-;3;2;2;2;1;4;1;2;3;3;26
"120035 Marechal Thaumaturgo";4;4;3;1;-;2;3;3;4;4;7;4;39
"120038 Plácido de Castro";-;2;1;-;2;4;-;1;-;-;-;1;11
"120080 Porto Acre";2;4;2;2;-;1;-;-;3;2;2;1;19
"120039 Porto Walter";-;-;2;-;-;-;1;-;-;-;-;1;4
