LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2014
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";6;1;2;2;2;1;1;2;6;6;8;2;39
"110037 Alto Alegre dos Parecis";3;3;2;3;2;4;3;3;6;6;3;5;43
"110040 Alto Paraíso";-;-;-;-;1;1;1;-;-;-;-;1;4
"110034 Alvorada D'Oeste";1;1;-;2;1;-;-;1;-;3;1;-;10
"110002 Ariquemes";2;2;3;1;3;4;2;3;1;1;1;4;27
"110045 Buritis";10;4;5;-;1;1;1;1;2;3;4;1;33
"110003 Cabixi";-;1;-;-;-;-;-;1;1;-;-;1;4
"110060 Cacaulândia";-;-;1;2;1;-;2;2;-;1;-;-;9
"110004 Cacoal";3;2;-;2;4;-;2;3;3;2;4;2;27
"110070 Campo Novo de Rondônia";2;3;2;-;3;1;-;-;3;5;3;2;24
"110080 Candeias do Jamari";-;1;1;-;1;2;-;-;1;-;2;-;8
"110090 Castanheiras";1;1;2;-;-;-;1;1;2;-;1;-;9
"110005 Cerejeiras";-;1;1;-;-;1;-;2;2;-;1;-;8
"110092 Chupinguaia";3;1;4;6;3;2;3;9;2;3;1;-;37
"110006 Colorado do Oeste";-;1;1;2;1;-;1;3;2;-;1;4;16
"110007 Corumbiara";2;-;3;1;1;3;4;3;2;1;-;-;20
"110008 Costa Marques";4;2;4;-;3;1;2;3;3;-;1;1;24
"110094 Cujubim";1;2;4;6;3;5;3;4;4;6;3;4;45
"110009 Espigão D'Oeste";3;4;2;2;3;4;7;10;14;10;13;3;75
"110100 Governador Jorge Teixeira";-;1;1;1;1;1;1;1;-;1;1;2;11
"110010 Guajará-Mirim";2;-;3;5;3;6;3;4;1;7;1;3;38
"110110 Itapuã do Oeste";1;1;1;-;1;-;-;-;-;1;-;-;5
"110011 Jaru";2;1;2;1;-;-;1;2;-;3;1;1;14
"110012 Ji-Paraná";3;-;-;2;1;1;2;1;-;1;1;-;12
"110013 Machadinho D'Oeste";8;5;1;2;2;4;1;-;1;3;3;3;33
"110120 Ministro Andreazza";-;1;1;-;-;-;-;1;-;1;-;-;4
"110130 Mirante da Serra";2;-;-;1;1;-;3;2;-;-;-;-;9
"110140 Monte Negro";3;2;-;-;1;-;1;2;2;2;-;1;14
"110014 Nova Brasilândia D'Oeste";2;3;-;1;1;1;-;1;1;4;1;2;17
"110033 Nova Mamoré";3;6;5;5;5;4;4;5;5;3;2;1;48
"110143 Nova União";-;-;-;-;-;-;1;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";2;1;1;-;-;-;-;-;-;-;3;2;9
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;-;-;1;1;4;3;10
"110145 Parecis";2;1;1;1;3;2;3;3;5;6;3;-;30
"110018 Pimenta Bueno";5;8;5;4;5;5;6;11;10;2;3;3;67
"110146 Pimenteiras do Oeste";-;1;-;-;1;-;-;2;-;-;-;-;4
"110020 Porto Velho";6;2;10;11;18;10;10;9;7;7;5;2;97
"110025 Presidente Médici";1;2;1;1;-;-;-;-;2;1;-;-;8
"110147 Primavera de Rondônia";-;-;-;1;-;1;1;-;1;2;-;-;6
"110026 Rio Crespo";1;-;-;-;-;-;-;-;-;-;-;1;2
"110028 Rolim de Moura";2;3;3;6;3;4;5;4;5;3;2;2;42
"110029 Santa Luzia D'Oeste";-;-;-;1;2;1;1;-;-;-;1;-;6
"110148 São Felipe D'Oeste";-;-;-;2;-;1;1;1;1;-;1;-;7
"110149 São Francisco do Guaporé";1;2;1;1;4;1;1;1;3;-;-;2;17
"110032 São Miguel do Guaporé";-;1;2;4;1;1;4;2;6;6;2;-;29
"110150 Seringueiras";2;-;1;1;1;1;-;-;-;2;1;-;9
"110160 Theobroma";2;-;2;-;-;-;-;-;-;-;-;-;4
"110170 Urupá";-;-;-;-;-;-;-;-;2;-;-;-;2
"110175 Vale do Anari";1;-;1;-;-;-;-;-;-;-;-;-;2
"110180 Vale do Paraíso";-;-;1;-;1;-;-;-;1;1;2;-;6
"110030 Vilhena";3;2;1;3;4;6;13;26;7;10;2;2;79
"110000 Município ignorado - RO";-;-;-;-;-;-;-;-;-;1;-;-;1
"120001 Acrelândia";2;4;2;2;-;-;3;-;1;2;4;2;22
"120005 Assis Brasil";8;8;6;2;4;5;1;4;4;3;5;8;58
"120010 Brasiléia";13;3;3;9;4;9;10;2;5;6;9;10;83
"120013 Bujari";2;6;3;1;2;1;1;6;2;8;5;4;41
"120017 Capixaba";2;3;1;4;3;5;2;5;4;4;2;5;40
"120020 Cruzeiro do Sul";3;7;1;3;6;6;4;-;1;16;11;6;64
"120025 Epitaciolândia";2;4;2;3;2;4;2;2;4;2;3;1;31
"120030 Feijó";5;8;7;5;9;5;1;4;7;2;2;6;61
"120032 Jordão";4;1;2;-;1;6;3;2;-;1;-;-;20
"120033 Mâncio Lima";-;2;2;2;5;1;2;2;4;5;4;1;30
"120034 Manoel Urbano";3;4;-;4;2;1;2;4;-;3;2;2;27
"120035 Marechal Thaumaturgo";2;-;2;4;7;4;3;-;1;2;1;1;27
"120038 Plácido de Castro";2;1;2;2;1;3;1;1;1;1;2;1;18
"120080 Porto Acre";2;1;2;1;-;2;3;3;1;1;1;1;18
"120039 Porto Walter";-;-;2;2;1;3;-;2;2;-;2;4;18
"120040 Rio Branco";11;15;11;13;15;13;9;20;13;23;11;13;167
"120042 Rodrigues Alves";1;2;1;-;4;-;1;-;-;1;1;-;11
"120043 Santa Rosa do Purus";3;1;4;3;2;5;4;4;-;1;-;1;28
"120050 Sena Madureira";22;26;18;16;21;17;10;8;6;10;9;11;174
"120045 Senador Guiomard";-;-;3;1;3;1;1;1;2;1;2;1;16
"120060 Tarauacá";2;3;4;3;5;2;-;3;6;3;1;5;37
"120070 Xapuri";14;15;4;1;4;8;7;13;9;4;3;8;90
"120000 Município ignorado - AC";-;1;-;-;-;-;-;-;-;-;-;-;1
"130002 Alvarães";-;-;-;1;1;-;-;-;-;-;-;-;2
"130010 Anori";-;-;-;-;-;-;-;-;-;-;1;-;1
"130014 Apuí";1;1;4;2;1;1;1;2;2;-;1;1;17
"130020 Atalaia do Norte";-;1;-;-;1;-;-;-;-;1;1;1;5
"130030 Autazes";1;1;2;1;1;-;1;-;-;1;2;-;10
"130040 Barcelos";1;-;2;3;3;2;4;4;1;2;2;-;24
"130050 Barreirinha";-;-;-;2;1;-;-;1;-;1;-;-;5
"130060 Benjamin Constant";-;-;-;1;-;-;-;-;1;1;1;-;4
"130063 Beruri";-;-;-;1;-;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;-;-;1;-;1;-;-;1;-;3
"130070 Boca do Acre";5;2;3;5;4;9;11;4;7;3;4;6;63
"130080 Borba";3;2;-;1;-;2;3;1;1;-;1;-;14
"130083 Caapiranga";2;4;2;1;-;1;-;-;-;-;-;-;10
"130090 Canutama";1;-;2;-;-;1;2;1;-;-;-;-;7
"130100 Carauari";4;-;-;-;-;-;-;-;-;-;1;1;6
"130110 Careiro";-;-;-;1;1;2;1;-;-;1;1;1;8
"130120 Coari";3;1;11;3;7;1;2;2;2;9;8;3;52
"130130 Codajás";-;-;-;1;-;-;-;-;-;1;-;-;2
"130140 Eirunepé";1;2;3;1;1;1;2;4;-;3;2;-;20
"130150 Envira";1;4;-;3;-;-;-;6;5;1;2;4;26
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;2;-;-;2
"130165 Guajará";-;-;2;-;1;2;1;-;-;2;4;1;13
"130170 Humaitá";5;9;7;6;11;13;7;5;2;2;-;4;71
"130180 Ipixuna";-;-;-;2;6;2;1;1;-;1;1;-;14
"130185 Iranduba";-;2;-;1;-;1;-;-;-;1;-;-;5
"130190 Itacoatiara";17;9;6;16;6;5;6;3;4;7;13;6;98
"130195 Itamarati";-;-;-;-;-;-;-;1;-;-;-;-;1
"130200 Itapiranga";-;-;1;1;1;-;-;-;-;1;1;1;6
"130210 Japurá";-;-;-;-;-;-;-;1;1;-;-;-;2
"130220 Juruá";-;-;-;-;-;-;1;-;-;-;-;-;1
"130230 Jutaí";-;-;-;-;1;-;-;-;-;-;-;-;1
"130240 Lábrea";7;1;2;2;14;9;4;6;3;-;5;7;60
"130250 Manacapuru";3;4;4;5;2;-;-;-;-;-;-;-;18
"130255 Manaquiri";-;-;1;-;1;-;-;-;-;-;-;-;2
"130260 Manaus";49;63;94;91;34;18;15;10;6;11;34;36;461
"130270 Manicoré";5;5;2;-;5;3;1;8;2;6;2;2;41
"130280 Maraã";-;-;-;-;-;-;-;-;1;-;-;3;4
"130290 Maués";4;1;5;3;6;5;6;5;3;8;2;8;56
"130300 Nhamundá";1;-;2;1;-;-;2;2;1;3;-;-;12
"130310 Nova Olinda do Norte";-;-;-;1;-;-;2;1;1;1;-;1;7
"130320 Novo Airão";-;3;4;1;2;1;4;2;1;2;5;1;26
"130330 Novo Aripuanã";2;8;5;8;1;1;2;1;2;-;1;-;31
"130340 Parintins";-;-;1;1;-;-;1;2;-;-;2;-;7
"130350 Pauini";-;1;3;3;4;3;-;3;2;4;1;-;24
"130353 Presidente Figueiredo";23;23;51;46;33;25;16;3;10;13;32;32;307
"130356 Rio Preto da Eva";15;26;49;56;16;10;10;4;4;3;25;32;250
"130360 Santa Isabel do Rio Negro";-;1;1;3;3;2;3;4;-;1;-;-;18
"130370 Santo Antônio do Içá";-;-;1;2;-;-;1;-;-;-;-;-;4
"130380 São Gabriel da Cachoeira";-;1;-;-;-;-;1;-;-;-;-;-;2
"130390 São Paulo de Olivença";-;2;-;-;-;-;-;1;-;-;-;-;3
"130395 São Sebastião do Uatumã";1;-;-;2;1;-;-;-;-;-;-;-;4
"130400 Silves";-;1;2;1;-;-;2;-;-;-;2;-;8
"130406 Tabatinga";-;1;1;-;-;-;2;-;-;-;-;-;4
"130410 Tapauá";-;-;-;-;1;2;-;2;3;4;-;5;17
"130420 Tefé";-;-;1;-;5;1;1;1;1;-;-;-;10
"130423 Tonantins";1;-;-;-;-;-;-;-;1;-;-;-;2
"130426 Uarini";-;-;-;1;-;2;-;-;-;-;-;-;3
"130430 Urucará";-;-;-;-;-;-;-;-;-;2;-;2;4
"130440 Urucurituba";-;-;-;-;-;-;1;-;-;-;-;-;1
"140005 Alto Alegre";1;-;1;2;2;1;1;-;-;2;-;-;10
"140002 Amajari";-;-;-;1;1;1;2;1;1;1;-;-;8
"140010 Boa Vista";1;6;7;5;2;-;2;2;-;2;2;5;34
"140015 Bonfim";-;-;-;-;-;-;2;-;1;1;-;-;4
"140017 Cantá";2;3;-;2;7;6;4;1;-;-;-;2;27
"140020 Caracaraí";1;6;6;7;3;1;3;1;1;2;2;2;35
