LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2016
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";3;1;3;1;1;3;1;2;6;5;2;1;29
"110037 Alto Alegre dos Parecis";3;1;2;-;-;4;3;2;2;4;7;-;28
"110040 Alto Paraíso";2;1;-;1;-;1;1;3;1;2;1;-;13
"110034 Alvorada D'Oeste";-;-;-;-;2;-;-;1;1;2;1;-;7
"110002 Ariquemes";-;2;6;3;1;1;2;2;6;3;3;3;32
"110045 Buritis";-;-;2;2;1;1;2;2;1;4;4;3;22
"110003 Cabixi";1;-;-;-;-;-;1;-;-;-;-;3;5
"110060 Cacaulândia";-;-;-;-;-;1;-;-;1;-;-;1;3
"110004 Cacoal";6;2;2;1;1;1;1;3;2;5;3;-;27
"110070 Campo Novo de Rondônia";2;-;-;1;2;-;-;4;1;2;8;1;21
"110080 Candeias do Jamari";1;-;5;2;2;1;1;-;-;1;1;2;16
"110090 Castanheiras";1;2;2;-;-;-;1;-;-;-;-;1;7
"110005 Cerejeiras";1;-;-;1;-;-;-;-;2;1;-;-;5
"110092 Chupinguaia";3;1;-;-;4;4;4;6;3;3;3;1;32
"110006 Colorado do Oeste";-;2;-;-;-;-;1;-;1;-;-;1;5
"110007 Corumbiara";1;-;-;-;-;3;2;-;3;1;1;-;11
"110008 Costa Marques";-;1;1;-;3;2;1;-;-;1;1;3;13
"110094 Cujubim";2;2;1;4;1;1;3;1;6;2;1;3;27
"110009 Espigão D'Oeste";5;2;1;1;-;-;1;4;4;11;6;7;42
"110100 Governador Jorge Teixeira";3;-;-;1;-;2;-;-;1;2;-;3;12
"110010 Guajará-Mirim";2;1;-;-;1;-;1;2;1;1;2;-;11
"110110 Itapuã do Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 Jaru";1;-;-;1;-;-;-;1;-;2;1;1;7
"110012 Ji-Paraná";-;-;1;-;-;-;-;1;-;4;1;2;9
"110013 Machadinho D'Oeste";1;6;2;1;7;6;3;6;6;4;5;5;52
"110120 Ministro Andreazza";-;-;-;1;-;-;-;-;-;1;1;1;4
"110130 Mirante da Serra";1;2;1;-;-;-;1;-;-;1;-;-;6
"110140 Monte Negro";-;3;-;1;-;2;1;-;-;1;3;3;14
"110014 Nova Brasilândia D'Oeste";-;-;-;-;1;-;-;-;2;2;3;2;10
"110033 Nova Mamoré";-;1;1;1;1;1;-;-;3;2;4;1;15
"110143 Nova União";-;-;-;1;-;-;-;-;-;-;-;1;2
"110050 Novo Horizonte do Oeste";1;1;-;-;1;-;1;-;2;-;4;-;10
"110015 Ouro Preto do Oeste";-;1;-;-;-;-;1;-;-;-;2;-;4
"110145 Parecis";2;-;1;-;-;2;1;-;6;1;1;-;14
"110018 Pimenta Bueno";-;6;-;5;9;5;7;10;12;7;7;2;70
"110146 Pimenteiras do Oeste";-;-;-;-;1;-;-;-;1;-;-;-;2
"110020 Porto Velho";12;11;9;10;17;14;9;19;15;12;13;13;154
"110025 Presidente Médici";-;-;-;-;1;2;-;-;-;1;3;2;9
"110147 Primavera de Rondônia";-;-;1;1;-;-;1;-;-;-;1;-;4
"110026 Rio Crespo";-;1;-;-;1;-;-;-;1;1;1;-;5
"110028 Rolim de Moura";4;1;2;3;3;2;3;4;1;4;5;5;37
"110029 Santa Luzia D'Oeste";-;3;-;-;-;-;1;-;-;-;2;1;7
"110148 São Felipe D'Oeste";-;-;-;-;-;-;1;-;1;-;-;1;3
"110149 São Francisco do Guaporé";1;2;-;-;1;1;-;-;2;-;-;-;7
