LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2019
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;1;1;1;3;2;-;2;3;2;4;3;23
"110037 Alto Alegre dos Parecis";1;-;-;1;-;1;-;-;1;-;2;2;8
"110040 Alto Paraíso";-;1;-;-;1;-;-;-;1;1;4;-;8
"110034 Alvorada D'Oeste";-;1;-;-;-;-;1;1;1;-;-;-;4
"110002 Ariquemes";2;3;2;2;1;3;4;2;1;1;4;1;26
"110045 Buritis";2;-;1;2;-;1;2;1;1;1;1;-;12
"110003 Cabixi";-;-;-;-;-;-;1;-;-;-;-;1;2
"110060 Cacaulândia";-;-;1;-;1;-;-;-;1;-;2;-;5
"110004 Cacoal";1;1;1;1;1;-;2;1;-;3;6;1;18
"110070 Campo Novo de Rondônia";3;-;-;-;1;1;-;2;-;1;2;-;10
"110080 Candeias do Jamari";-;-;-;1;1;-;-;3;1;-;-;-;6
"110090 Castanheiras";1;-;-;1;-;-;-;-;-;2;-;-;4
"110005 Cerejeiras";1;-;-;-;2;-;-;-;-;-;1;-;4
"110092 Chupinguaia";-;1;3;5;5;5;2;11;9;3;5;1;50
"110006 Colorado do Oeste";-;-;1;-;-;-;-;3;2;-;-;1;7
"110007 Corumbiara";1;-;-;1;-;-;-;1;-;4;1;-;8
"110008 Costa Marques";1;1;-;2;-;1;1;1;6;-;1;-;14
"110094 Cujubim";1;1;1;2;3;1;3;-;5;5;1;1;24
"110009 Espigão D'Oeste";4;3;1;3;-;3;5;7;3;12;8;-;49
"110100 Governador Jorge Teixeira";1;2;-;-;-;-;1;3;2;-;1;-;10
"110010 Guajará-Mirim";-;1;-;-;1;1;2;1;-;-;2;-;8
