LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2015
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";2;3;1;4;5;1;-;1;2;1;1;3;24
"110037 Alto Alegre dos Parecis";1;1;2;4;8;2;2;4;1;5;6;2;38
"110040 Alto Paraíso";-;1;3;1;1;1;3;1;-;-;1;-;12
"110034 Alvorada D'Oeste";1;2;-;-;-;-;2;1;-;1;-;3;10
"110002 Ariquemes";3;1;6;3;5;2;5;2;6;1;2;3;39
"110045 Buritis";3;3;2;2;2;2;1;2;4;2;2;2;27
"110003 Cabixi";1;-;-;-;1;1;1;-;1;-;-;1;6
"110060 Cacaulândia";1;-;-;-;1;1;-;-;1;-;1;1;6
"110004 Cacoal";1;2;2;-;1;1;3;-;3;4;-;1;18
"110070 Campo Novo de Rondônia";1;-;3;4;-;1;2;2;-;2;-;1;16
"110080 Candeias do Jamari";-;-;1;4;3;2;1;-;5;-;-;1;17
"110090 Castanheiras";-;1;-;1;1;1;1;1;-;-;-;1;7
"110005 Cerejeiras";1;1;1;-;-;1;1;1;1;-;-;-;7
"110092 Chupinguaia";1;-;1;1;1;5;1;-;1;3;-;-;14
"110006 Colorado do Oeste";3;-;1;-;1;-;1;1;5;1;2;1;16
"110007 Corumbiara";2;1;-;1;-;2;1;-;-;4;1;2;14
"110008 Costa Marques";4;2;4;3;4;3;5;4;4;7;1;1;42
"110094 Cujubim";1;1;3;2;2;1;3;1;-;2;2;2;20
"110009 Espigão D'Oeste";3;2;6;7;4;3;7;5;5;3;7;1;53
"110100 Governador Jorge Teixeira";2;-;3;3;1;1;2;-;-;3;-;-;15
"110010 Guajará-Mirim";4;2;4;8;5;2;4;5;5;1;-;-;40
"110110 Itapuã do Oeste";-;-;2;-;-;-;-;-;2;-;1;-;5
